action_type,combined_shot_type,game_event_id,game_id,lat,loc_x,loc_y,lon,minutes_remaining,period,playoffs,season,seconds_remaining,shot_distance,shot_made_flag,shot_type,shot_zone_area,shot_zone_basic,shot_zone_range,game_date,matchup,opponent,shot_id
35,3,10,20000012,33.9723,167,72,-118.1028,10,1,0,14,27,18,,1,5,2,3,484,72,24,1
35,3,12,20000012,34.0443,-157,0,-118.4268,10,1,0,14,22,15,0.0,1,3,2,4,484,72,24,2
35,3,35,20000012,33.9093,-101,135,-118.3708,7,1,0,14,45,16,1.0,1,6,2,3,484,72,24,3
35,3,43,20000012,33.8693,138,175,-118.1318,6,1,0,14,52,22,0.0,1,1,2,3,484,72,24,4
34,1,155,20000012,34.0443,0,0,-118.2698,6,2,0,14,19,0,1.0,1,4,4,1,484,72,24,5
35,3,244,20000012,34.0553,-145,-11,-118.4148,9,3,0,14,32,14,0.0,1,3,2,4,484,72,24,6
19,4,251,20000012,34.0443,0,0,-118.2698,8,3,0,14,52,0,1.0,1,4,4,1,484,72,24,7
35,3,254,20000012,34.0163,1,28,-118.2688,8,3,0,14,5,2,,1,4,4,1,484,72,24,8
35,3,265,20000012,33.9363,-65,108,-118.3348,6,3,0,14,12,12,1.0,1,3,7,4,484,72,24,9
39,3,294,20000012,33.9193,-33,125,-118.3028,3,3,0,14,36,12,0.0,1,4,7,4,484,72,24,10
35,3,309,20000012,33.8063,-94,238,-118.3638,1,3,0,14,56,25,0.0,2,6,5,5,484,72,24,11
35,3,4,20000019,33.9173,121,127,-118.1488,11,1,0,14,0,17,1.0,1,1,2,3,1559,57,32,12
39,3,27,20000019,33.9343,-67,110,-118.3368,7,1,0,14,9,12,1.0,1,3,7,4,1559,57,32,13
35,3,66,20000019,34.0403,-94,4,-118.3638,2,1,0,14,44,9,0.0,1,3,2,4,1559,57,32,14
35,3,80,20000019,33.9973,-23,47,-118.2928,1,1,0,14,16,5,0.0,1,4,7,1,1559,57,32,15
35,3,86,20000019,33.8523,62,192,-118.2078,0,1,0,14,48,20,0.0,1,4,2,3,1559,57,32,16
7,4,100,20000019,34.0443,0,0,-118.2698,0,1,0,14,1,0,,1,4,4,1,1559,57,32,17
35,3,138,20000019,33.8183,-117,226,-118.3868,8,2,0,14,50,25,1.0,2,6,5,5,1559,57,32,18
35,3,244,20000019,33.9473,-132,97,-118.4018,11,3,0,14,29,16,0.0,1,6,2,3,1559,57,32,19
7,4,249,20000019,34.0443,0,0,-118.2698,10,3,0,14,46,0,,1,4,4,1,1559,57,32,20
35,3,255,20000019,33.9003,3,144,-118.2668,10,3,0,14,8,14,0.0,1,4,2,4,1559,57,32,21
35,3,265,20000019,33.9173,134,127,-118.1358,9,3,0,14,4,18,0.0,1,1,2,3,1559,57,32,22
39,3,274,20000019,33.9343,-16,110,-118.2858,7,3,0,14,57,11,1.0,1,4,7,4,1559,57,32,23
39,3,299,20000019,33.8943,-109,150,-118.3788,5,3,0,14,47,18,1.0,1,6,2,3,1559,57,32,24
39,3,307,20000019,33.9813,-46,63,-118.3158,5,3,0,14,11,7,1.0,1,4,7,1,1559,57,32,25
19,4,332,20000019,34.0443,0,0,-118.2698,2,3,0,14,36,0,0.0,1,4,4,1,1559,57,32,26
35,3,345,20000019,33.8483,-58,196,-118.3278,2,3,0,14,4,20,0.0,1,4,2,3,1559,57,32,27
35,3,369,20000019,33.8583,-183,186,-118.4528,0,3,0,14,30,26,0.0,2,6,5,5,1559,57,32,28
35,3,400,20000019,33.8713,85,173,-118.1848,8,4,0,14,19,19,0.0,1,1,2,3,1559,57,32,29
35,3,429,20000019,33.9573,3,87,-118.2668,6,4,0,14,22,8,0.0,1,4,7,4,1559,57,32,30
39,3,488,20000019,34.0403,121,4,-118.1488,1,4,0,14,20,12,1.0,1,5,2,4,1559,57,32,31
35,3,499,20000019,34.0103,127,34,-118.1428,0,4,0,14,30,13,0.0,1,5,2,4,1559,57,32,32
35,3,4,20000047,33.9683,163,76,-118.1068,11,1,0,14,26,17,,1,5,2,3,875,41,25,33
35,3,8,20000047,33.8503,70,194,-118.1998,10,1,0,14,58,20,,1,1,2,3,875,41,25,34
19,4,26,20000047,34.0253,1,19,-118.2688,7,1,0,14,33,1,,1,4,4,1,875,41,25,35
19,4,37,20000047,34.0293,-12,15,-118.2818,5,1,0,14,58,1,,1,4,4,1,875,41,25,36
27,4,53,20000047,34.0403,1,4,-118.2688,4,1,0,14,9,0,,1,4,4,1,875,41,25,37
35,3,165,20000047,33.9283,-117,116,-118.3868,5,2,0,14,33,16,,1,6,2,3,875,41,25,38
35,3,184,20000047,33.8603,91,184,-118.1788,3,2,0,14,30,20,1.0,1,1,2,3,875,41,25,39
35,3,202,20000047,33.7723,-27,272,-118.2968,0,2,0,14,4,27,1.0,2,4,5,5,875,41,25,40
35,3,212,20000047,33.9783,-176,66,-118.4458,11,3,0,14,12,18,0.0,1,3,2,3,875,41,25,41
19,4,219,20000047,34.0403,7,4,-118.2628,10,3,0,14,13,0,1.0,1,4,4,1,875,41,25,42
35,3,229,20000047,33.9113,150,133,-118.1198,8,3,0,14,59,20,1.0,1,1,2,3,875,41,25,43
35,3,233,20000047,34.0293,49,15,-118.2208,8,3,0,14,29,5,0.0,1,4,7,1,875,41,25,44
19,4,281,20000047,34.0253,-12,19,-118.2818,4,3,0,14,29,2,,1,4,4,1,875,41,25,45
19,4,289,20000047,34.0403,-4,4,-118.2738,3,3,0,14,21,0,1.0,1,4,4,1,875,41,25,46
56,1,295,20000047,34.0403,-4,4,-118.2738,2,3,0,14,55,0,0.0,1,4,4,1,875,41,25,47
42,1,300,20000047,34.0353,1,9,-118.2688,2,3,0,14,38,0,1.0,1,4,4,1,875,41,25,48
35,3,398,20000047,33.9243,121,120,-118.1488,4,4,0,14,55,17,1.0,1,1,2,3,875,41,25,49
35,3,410,20000047,34.0143,-176,30,-118.4458,3,4,0,14,19,17,,1,3,2,3,875,41,25,50
19,4,445,20000047,34.0353,1,9,-118.2688,1,4,0,14,8,0,0.0,1,4,4,1,875,41,25,51
19,4,446,20000047,34.0353,-12,9,-118.2818,1,4,0,14,6,1,0.0,1,4,4,1,875,41,25,52
35,3,7,20000049,33.9743,24,70,-118.2458,10,1,0,14,33,7,0.0,1,4,7,1,1112,54,3,53
35,3,11,20000049,34.0483,-189,-4,-118.4588,10,1,0,14,4,18,0.0,1,3,2,3,1112,54,3,54
35,3,60,20000049,33.7973,-141,247,-118.4108,4,1,0,14,58,28,,2,6,5,5,1112,54,3,55
35,3,80,20000049,33.8503,-155,194,-118.4248,2,1,0,14,33,24,0.0,2,6,5,5,1112,54,3,56
35,3,105,20000049,33.8163,1,228,-118.2688,11,2,0,14,26,22,1.0,2,4,2,3,1112,54,3,57
7,4,132,20000049,34.0443,0,0,-118.2698,8,2,0,14,40,0,1.0,1,4,4,1,1112,54,3,58
42,1,190,20000049,34.0443,0,0,-118.2698,4,2,0,14,5,0,1.0,1,4,4,1,1112,54,3,59
35,3,199,20000049,33.8033,146,241,-118.1238,3,2,0,14,10,28,,2,1,5,5,1112,54,3,60
35,3,214,20000049,33.9363,-33,108,-118.3028,2,2,0,14,2,11,0.0,1,4,7,4,1112,54,3,61
19,4,232,20000049,33.9953,22,49,-118.2478,0,2,0,14,47,5,1.0,1,4,7,1,1112,54,3,62
7,4,260,20000049,34.0443,0,0,-118.2698,9,3,0,14,32,0,0.0,1,4,4,1,1112,54,3,63
7,4,353,20000049,34.0233,56,21,-118.2138,0,3,0,14,37,5,0.0,1,4,7,1,1112,54,3,64
39,3,369,20000049,34.0183,121,26,-118.1488,0,3,0,14,1,12,1.0,1,5,2,4,1112,54,3,65
35,3,397,20000049,33.9533,-10,91,-118.2798,10,4,0,14,13,9,,1,4,7,4,1112,54,3,66
35,3,22,20000058,34.0083,-119,36,-118.3888,9,1,0,14,6,12,,1,3,2,4,1531,13,21,67
35,3,28,20000058,33.9873,231,57,-118.0388,8,1,0,14,17,23,0.0,2,5,1,5,1531,13,21,68
7,4,33,20000058,34.0443,0,0,-118.2698,7,1,0,14,53,0,1.0,1,4,4,1,1531,13,21,69
34,1,41,20000058,34.0443,0,0,-118.2698,7,1,0,14,1,0,1.0,1,4,4,1,1531,13,21,70
35,3,55,20000058,33.9343,159,110,-118.1108,5,1,0,14,15,19,,1,5,2,3,1531,13,21,71
35,3,73,20000058,33.7873,7,257,-118.2628,3,1,0,14,11,25,1.0,2,4,5,5,1531,13,21,72
7,4,131,20000058,34.0443,0,0,-118.2698,7,2,0,14,56,0,1.0,1,4,4,1,1531,13,21,73
35,3,186,20000058,33.9873,51,57,-118.2188,2,2,0,14,40,7,0.0,1,4,7,1,1531,13,21,74
35,3,201,20000058,33.8543,167,190,-118.1028,0,2,0,14,10,25,0.0,2,1,5,5,1531,13,21,75
35,3,215,20000058,33.8543,-119,190,-118.3888,11,3,0,14,2,22,1.0,1,6,2,3,1531,13,21,76
35,3,225,20000058,33.9873,16,57,-118.2538,9,3,0,14,10,5,0.0,1,4,7,1,1531,13,21,77
35,3,236,20000058,33.9343,-84,110,-118.3538,7,3,0,14,24,13,0.0,1,3,2,4,1531,13,21,78
35,3,306,20000058,34.0023,-71,42,-118.3408,0,3,0,14,1,8,0.0,1,3,7,4,1531,13,21,79
35,3,313,20000058,33.9973,58,47,-118.2118,11,4,0,14,49,7,,1,4,7,1,1531,13,21,80
35,3,368,20000058,33.9113,30,133,-118.2398,5,4,0,14,1,13,1.0,1,4,7,4,1531,13,21,81
35,3,425,20000058,33.8883,1,156,-118.2688,0,4,0,14,46,15,0.0,1,4,2,4,1531,13,21,82
35,3,2,20000068,33.8333,132,211,-118.1378,11,1,0,14,41,24,0.0,2,1,5,5,1387,55,2,83
42,1,11,20000068,34.0403,-8,4,-118.2778,10,1,0,14,59,0,0.0,1,4,4,1,1387,55,2,84
35,3,20,20000068,33.9743,-29,70,-118.2988,9,1,0,14,48,7,,1,4,7,1,1387,55,2,85
28,3,33,20000068,33.9953,-124,49,-118.3938,7,1,0,14,26,13,,1,3,2,4,1387,55,2,86
35,3,39,20000068,33.9173,132,127,-118.1378,6,1,0,14,36,18,1.0,1,1,2,3,1387,55,2,87
35,3,44,20000068,33.8563,-29,188,-118.2988,5,1,0,14,54,19,1.0,1,4,2,3,1387,55,2,88
35,3,70,20000068,33.9683,140,76,-118.1298,2,1,0,14,24,15,1.0,1,5,2,4,1387,55,2,89
28,3,74,20000068,34.0443,140,0,-118.1298,1,1,0,14,48,14,1.0,1,5,2,4,1387,55,2,90
35,3,79,20000068,33.8883,-1,156,-118.2708,1,1,0,14,25,15,1.0,1,4,2,4,1387,55,2,91
35,3,82,20000068,34.0403,-151,4,-118.4208,0,1,0,14,47,15,1.0,1,3,2,4,1387,55,2,92
35,3,101,20000068,33.9683,110,76,-118.1598,10,2,0,14,57,13,0.0,1,5,2,4,1387,55,2,93
35,3,115,20000068,33.9573,132,87,-118.1378,9,2,0,14,37,15,0.0,1,5,2,4,1387,55,2,94
28,3,180,20000068,34.0403,132,4,-118.1378,4,2,0,14,25,13,,1,5,2,4,1387,55,2,95
35,3,184,20000068,33.7933,-58,251,-118.3278,3,2,0,14,50,25,1.0,2,4,5,5,1387,55,2,96
35,3,192,20000068,33.8843,-94,160,-118.3638,3,2,0,14,15,18,1.0,1,6,2,3,1387,55,2,97
35,3,215,20000068,33.8943,-193,150,-118.4628,0,2,0,14,53,24,0.0,2,6,5,5,1387,55,2,98
35,3,217,20000068,34.0443,140,0,-118.1298,0,2,0,14,48,14,1.0,1,5,2,4,1387,55,2,99
35,3,228,20000068,34.0353,39,9,-118.2308,11,3,0,14,26,4,0.0,1,4,7,1,1387,55,2,100
35,3,241,20000068,33.8943,24,150,-118.2458,9,3,0,14,20,15,0.0,1,4,2,4,1387,55,2,101
42,1,253,20000068,34.0443,-1,0,-118.2708,7,3,0,14,53,0,1.0,1,4,4,1,1387,55,2,102
35,3,262,20000068,33.9113,119,133,-118.1508,6,3,0,14,40,17,1.0,1,1,2,3,1387,55,2,103
35,3,286,20000068,33.9073,-101,137,-118.3708,4,3,0,14,16,17,,1,6,2,3,1387,55,2,104
35,3,300,20000068,34.0253,119,19,-118.1508,3,3,0,14,0,12,0.0,1,5,2,4,1387,55,2,105
35,3,314,20000068,34.0023,-193,42,-118.4628,0,3,0,14,48,19,0.0,1,3,2,3,1387,55,2,106
35,3,322,20000068,33.9893,-166,55,-118.4358,0,3,0,14,21,17,0.0,1,3,2,3,1387,55,2,107
35,3,339,20000068,33.9283,24,116,-118.2458,10,4,0,14,39,11,0.0,1,4,7,4,1387,55,2,108
35,3,365,20000068,33.8883,-65,156,-118.3348,7,4,0,14,8,16,0.0,1,6,2,3,1387,55,2,109
28,3,370,20000068,34.0183,-166,26,-118.4358,6,4,0,14,25,16,1.0,1,3,2,3,1387,55,2,110
35,3,379,20000068,33.9683,-58,76,-118.3278,5,4,0,14,14,9,0.0,1,3,7,4,1387,55,2,111
35,3,395,20000068,33.9743,-37,70,-118.3068,3,4,0,14,38,7,0.0,1,4,7,1,1387,55,2,112
35,3,418,20000068,33.8943,-151,150,-118.4208,0,4,0,14,43,21,,1,6,2,3,1387,55,2,113
35,3,4,20000098,33.8563,-94,188,-118.3638,11,1,0,14,9,21,0.0,1,6,2,3,470,71,21,114
7,4,11,20000098,34.0443,0,0,-118.2698,10,1,0,14,17,0,0.0,1,4,4,1,470,71,21,115
27,4,19,20000098,34.0443,0,0,-118.2698,9,1,0,14,23,0,0.0,1,4,4,1,470,71,21,116
29,5,20,20000098,34.0443,0,0,-118.2698,9,1,0,14,21,0,0.0,1,4,4,1,470,71,21,117
42,1,111,20000098,34.0443,0,0,-118.2698,3,1,0,14,2,0,1.0,1,4,4,1,470,71,21,118
7,4,130,20000098,34.0443,0,0,-118.2698,0,1,0,14,44,0,1.0,1,4,4,1,470,71,21,119
35,3,135,20000098,33.9033,85,141,-118.1848,0,1,0,14,21,16,0.0,1,1,2,3,470,71,21,120
35,3,170,20000098,33.8863,-88,158,-118.3578,8,2,0,14,50,18,1.0,1,6,2,3,470,71,21,121
34,1,174,20000098,34.0443,0,0,-118.2698,8,2,0,14,18,0,1.0,1,4,4,1,470,71,21,122
35,3,217,20000098,33.9913,-155,53,-118.4248,2,2,0,14,40,16,,1,3,2,3,470,71,21,123
57,2,236,20000098,34.0443,0,0,-118.2698,0,2,0,14,30,0,1.0,1,4,4,1,470,71,21,124
35,3,240,20000098,33.7683,1,276,-118.2688,0,2,0,14,4,27,1.0,2,4,5,5,470,71,21,125
39,3,261,20000098,33.9113,-96,133,-118.3658,9,3,0,14,59,16,,1,6,2,3,470,71,21,126
35,3,274,20000098,34.0523,155,-8,-118.1148,8,3,0,14,38,15,1.0,1,5,2,4,470,71,21,127
35,3,307,20000098,34.0313,-155,13,-118.4248,5,3,0,14,18,15,1.0,1,3,2,4,470,71,21,128
35,3,309,20000098,33.9113,-84,133,-118.3538,4,3,0,14,34,15,0.0,1,3,2,4,470,71,21,129
35,3,317,20000098,34.0523,-178,-8,-118.4478,3,3,0,14,51,17,0.0,1,3,2,3,470,71,21,130
35,3,320,20000098,33.9553,16,89,-118.2538,3,3,0,14,40,9,0.0,1,4,7,4,470,71,21,131
35,3,322,20000098,33.9383,-48,106,-118.3178,3,3,0,14,33,11,1.0,1,4,7,4,470,71,21,132
27,4,327,20000098,34.0443,0,0,-118.2698,2,3,0,14,56,0,,1,4,4,1,470,71,21,133
35,3,340,20000098,34.0313,-170,13,-118.4398,2,3,0,14,5,17,0.0,1,3,2,3,470,71,21,134
35,3,362,20000098,33.9113,-119,133,-118.3888,0,3,0,14,14,17,0.0,1,6,2,3,470,71,21,135
35,3,381,20000098,34.0043,9,40,-118.2608,10,4,0,14,52,4,0.0,1,4,7,1,470,71,21,136
35,3,426,20000098,33.9623,-84,82,-118.3538,6,4,0,14,34,11,0.0,1,3,2,4,470,71,21,137
35,3,444,20000098,33.9853,9,59,-118.2608,4,4,0,14,57,5,0.0,1,4,7,1,470,71,21,138
34,1,468,20000098,34.0443,0,0,-118.2698,3,4,0,14,28,0,1.0,1,4,4,1,470,71,21,139
39,3,488,20000098,33.9853,9,59,-118.2608,1,4,0,14,38,5,1.0,1,4,7,1,470,71,21,140
35,3,492,20000098,34.0083,45,36,-118.2248,1,4,0,14,5,5,,1,4,7,1,470,71,21,141
29,5,493,20000098,34.0443,0,0,-118.2698,1,4,0,14,3,0,0.0,1,4,4,1,470,71,21,142
7,4,34,20000108,34.0443,0,0,-118.2698,7,1,0,14,43,0,0.0,1,4,4,1,245,67,12,143
35,3,55,20000108,34.0333,237,11,-118.0328,4,1,0,14,52,23,,2,5,1,5,245,67,12,144
46,1,77,20000108,34.0443,0,0,-118.2698,3,1,0,14,8,0,1.0,1,4,4,1,245,67,12,145
35,3,86,20000108,34.0483,129,-4,-118.1408,2,1,0,14,25,12,1.0,1,5,2,4,245,67,12,146
35,3,93,20000108,33.9473,-98,97,-118.3678,0,1,0,14,48,13,1.0,1,3,2,4,245,67,12,147
35,3,108,20000108,33.9663,167,78,-118.1028,11,2,0,14,16,18,0.0,1,5,2,3,245,67,12,148
35,3,118,20000108,33.7953,108,249,-118.1618,10,2,0,14,19,27,0.0,2,1,5,5,245,67,12,149
7,4,120,20000108,34.0443,0,0,-118.2698,10,2,0,14,5,0,,1,4,4,1,245,67,12,150
39,3,129,20000108,33.8693,100,175,-118.1698,9,2,0,14,7,20,1.0,1,1,2,3,245,67,12,151
35,3,179,20000108,33.8753,7,169,-118.2628,4,2,0,14,14,16,,1,4,2,3,245,67,12,152
7,4,186,20000108,34.0443,0,0,-118.2698,3,2,0,14,22,0,,1,4,4,1,245,67,12,153
19,4,199,20000108,34.0443,0,0,-118.2698,1,2,0,14,54,0,0.0,1,4,4,1,245,67,12,154
7,4,219,20000108,34.0443,0,0,-118.2698,0,2,0,14,28,0,0.0,1,4,4,1,245,67,12,155
29,5,220,20000108,34.0443,0,0,-118.2698,0,2,0,14,26,0,,1,4,4,1,245,67,12,156
35,3,243,20000108,33.8753,115,169,-118.1548,10,3,0,14,23,20,0.0,1,1,2,3,245,67,12,157
35,3,303,20000108,33.9723,1,72,-118.2688,5,3,0,14,23,7,0.0,1,4,7,1,245,67,12,158
56,1,318,20000108,34.0443,0,0,-118.2698,3,3,0,14,53,0,,1,4,4,1,245,67,12,159
34,1,352,20000108,34.0443,0,0,-118.2698,0,3,0,14,37,0,1.0,1,4,4,1,245,67,12,160
35,3,360,20000108,33.8143,113,230,-118.1568,11,4,0,14,43,25,1.0,2,1,5,5,245,67,12,161
19,4,368,20000108,34.0443,0,0,-118.2698,10,4,0,14,28,0,1.0,1,4,4,1,245,67,12,162
42,1,371,20000108,34.0443,0,0,-118.2698,10,4,0,14,11,0,1.0,1,4,4,1,245,67,12,163
19,4,416,20000108,34.0443,0,0,-118.2698,5,4,0,14,37,0,0.0,1,4,4,1,245,67,12,164
21,1,418,20000108,34.0443,0,0,-118.2698,5,4,0,14,32,0,,1,4,4,1,245,67,12,165
35,3,2,20000124,33.8503,98,194,-118.1718,11,1,0,14,42,21,1.0,1,1,2,3,1207,19,33,166
35,3,5,20000124,33.8603,-117,184,-118.3868,11,1,0,14,7,21,0.0,1,6,2,3,1207,19,33,167
35,3,24,20000124,34.0463,-168,-2,-118.4378,8,1,0,14,53,16,0.0,1,3,2,3,1207,19,33,168
35,3,31,20000124,34.0083,70,36,-118.1998,8,1,0,14,16,7,0.0,1,4,7,1,1207,19,33,169
7,4,34,20000124,34.0443,0,0,-118.2698,7,1,0,14,43,0,0.0,1,4,4,1,1207,19,33,170
35,3,70,20000124,34.0023,-37,42,-118.3068,2,1,0,14,47,5,1.0,1,4,7,1,1207,19,33,171
